"Deaths","Injured","Affected","Damage","Natural","Tech","Africa","America","Asia","Europe","Oceania"
2,3,4159,0,1,0,1,0,0,0,0
0,0,300,0,1,0,0,1,0,0,0
0,1050,1050,0,0,1,0,0,1,0,0
25,0,0,0,0,1,0,0,1,0,0
22,0,0,0,0,1,1,0,0,0,0
7,0,221,0,1,0,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0
20,36,36,0,0,1,1,0,0,0,0
11,20,20,0,0,1,1,0,0,0,0
21,24,24,0,0,1,0,0,1,0,0
4,0,1000,0,1,0,1,0,0,0,0
10,2,2,0,0,1,0,1,0,0,0
11,0,0,0,0,1,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,4000,0,1,0,0,0,1,0,0
0,56,406,0,0,1,0,0,1,0,0
14,100,2100,135000,1,0,0,0,1,0,0
15,4,4,5000,1,0,0,0,1,0,0
15,0,0,0,0,1,0,0,1,0,0
10,0,164,0,1,0,1,0,0,0,0
108,0,0,0,0,1,0,0,0,1,0
143,0,0,0,0,1,0,0,1,0,0
6,0,0,0,1,0,0,0,0,1,0
4,0,165,0,1,0,1,0,0,0,0
40,19,19,0,0,1,1,0,0,0,0
50,17,17,0,0,1,1,0,0,0,0
1,211,177611,43000,1,0,0,0,1,0,0
1,0,0,17750,1,0,0,0,0,1,0
7,7,7,0,1,0,0,0,0,1,0
15,0,0,0,1,0,1,0,0,0,0
10,30,30,13288,1,0,0,0,1,0,0
11,47,4522,69443,1,0,0,0,1,0,0
179,16,252016,173000,1,0,0,0,1,0,0
7,0,500,27000,1,0,0,0,1,0,0
12,7,7,0,0,1,0,0,1,0,0
22,0,0,0,0,1,1,0,0,0,0
2,0,41219,0,1,0,0,0,1,0,0
0,100,5730,0,1,0,0,0,1,0,0
0,3,503,35,1,0,0,0,1,0,0
0,4,134,0,1,0,0,0,1,0,0
18,0,0,0,0,1,1,0,0,0,0
27,0,0,0,0,1,1,0,0,0,0
15,30,30,0,0,1,1,0,0,0,0
28,15,15,0,0,1,1,0,0,0,0
0,0,750,1900,1,0,1,0,0,0,0
0,0,1181,1622,1,0,0,0,0,1,0
25,0,300,11300,1,0,0,0,1,0,0
0,0,100,0,1,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,1,0
17,20,20,0,0,1,0,0,1,0,0
1,10,12010,0,1,0,0,0,1,0,0
4,80,37770,10,1,0,0,0,1,0,0
47,0,46000,169000,1,0,0,0,1,0,0
0,0,0,1000,1,0,0,0,0,0,1
14,27,27,2400,1,0,0,0,1,0,0
25,30,30,0,0,1,1,0,0,0,0
39,81,81,0,0,1,1,0,0,0,0
32,0,0,0,0,1,1,0,0,0,0
47,0,21,0,1,0,1,0,0,0,0
19,0,1604,0,1,0,0,0,1,0,0
14,0,42,0,1,0,1,0,0,0,0
0,0,102,0,1,0,0,0,0,1,0
69,0,592,0,1,0,0,0,1,0,0
34,0,116,0,1,0,0,0,1,0,0
14,4,4,0,0,1,0,0,1,0,0
20,0,0,0,0,1,1,0,0,0,0
18,0,117,0,1,0,1,0,0,0,0
46,180,627180,6e+06,1,0,0,0,1,0,0
11,26,26,0,0,1,0,0,1,0,0
14,15,15,0,0,1,1,0,0,0,0
11,46,46,0,0,1,0,0,1,0,0
9,41,180041,1400000,1,0,0,0,1,0,0
9,0,0,50,1,0,0,0,0,1,0
16,22,22,0,1,0,0,0,0,1,0
14,0,0,0,0,1,0,0,1,0,0
60,300,300,0,0,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,1,0
12,40,40,0,0,1,0,0,1,0,0
5,29,6029,21000,1,0,0,0,1,0,0
15,0,450000,1000,1,0,0,0,1,0,0
10,8,8,0,0,1,0,0,0,1,0
16,16,16,0,0,1,1,0,0,0,0
11,0,0,0,1,0,0,1,0,0,0
13,0,0,0,0,1,0,0,0,1,0
21,21,21,0,0,1,0,0,1,0,0
11,39,39,0,0,1,1,0,0,0,0
3,0,10000,0,1,0,0,1,0,0,0
15,7,7,0,0,1,0,0,1,0,0
76,0,329,0,1,0,0,0,1,0,0
12,0,139,0,1,0,0,0,1,0,0
16,19,19,0,0,1,0,0,1,0,0
2,0,400,0,1,0,0,1,0,0,0
0,0,2000,0,1,0,1,0,0,0,0
5,0,6508,0,1,0,0,0,1,0,0
0,70,25174,50000,1,0,0,1,0,0,0
25,9,9,0,0,1,0,0,1,0,0
10,0,0,0,0,1,0,0,1,0,0
8,0,411,71000,1,0,0,0,1,0,0
14,39,39,0,0,1,0,0,1,0,0
4,0,3000,0,1,0,0,0,0,1,0
6,0,2400000,0,1,0,0,0,1,0,0
18,110,360110,7440000,1,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0,0
13,2,2,0,0,1,0,0,1,0,0
20,12,462,0,1,0,0,1,0,0,0
884,0,24600000,691500,1,0,0,0,1,0,0
8,0,300,0,1,0,0,1,0,0,0
0,0,1320,0,1,0,0,0,0,1,0
2,0,1e+05,0,1,0,0,0,1,0,0
1,115,115,90000,1,0,0,1,0,0,0
10,15,15,0,0,1,0,0,1,0,0
11,0,0,0,0,1,0,0,1,0,0
31,0,2467138,5e+05,1,0,0,0,1,0,0
2,0,0,0,1,0,0,0,1,0,0
0,0,500,4805,1,0,1,0,0,0,0
0,0,10000,0,1,0,1,0,0,0,0
32,0,289,0,1,0,0,0,1,0,0
15,0,613,0,1,0,0,0,1,0,0
13,0,19,0,1,0,1,0,0,0,0
76,18,18,0,0,1,0,0,0,1,0
1,0,1000,1300,1,0,0,1,0,0,0
0,0,1000,0,1,0,1,0,0,0,0
20,0,0,0,0,1,1,0,0,0,0
40,40,40,0,0,1,0,0,1,0,0
0,37,2537,0,1,0,0,0,1,0,0
0,0,1000,0,1,0,0,0,0,1,0
0,0,12,0,1,0,0,0,0,1,0
17,0,300,0,1,0,1,0,0,0,0
10,30,30,0,0,1,0,0,1,0,0
6,7,207,0,1,0,0,0,0,1,0
60,41,41,0,0,1,0,1,0,0,0
10,0,0,0,0,1,1,0,0,0,0
0,0,0,13563,1,0,0,0,0,1,0
0,170,170,0,0,1,0,1,0,0,0
14,570,62570,277460,1,0,0,1,0,0,0
23,0,30000,1000,1,0,0,1,0,0,0
1,0,2300,1000,1,0,0,1,0,0,0
1,0,100,0,1,0,0,1,0,0,0
11,35,35,0,0,1,0,1,0,0,0
11,10,10,0,0,1,1,0,0,0,0
9,0,28000,0,1,0,0,1,0,0,0
181,0,86107,0,1,0,1,0,0,0,0
13,4,20004,0,1,0,0,1,0,0,0
18,39,39,0,0,1,1,0,0,0,0
2,0,17433,219000,1,0,0,1,0,0,0
1,6,791,0,1,0,1,0,0,0,0
12,0,0,0,0,1,1,0,0,0,0
